latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_activity,calculated_host_listings_count,availability_365,availability_ratio,review_scores_rating,data_year,amenity_score,has_luxury_amenities,wifi,kitchen,air_conditioning,parking,pool,gym,pets_allowed,city,neighbourhood,room_type,property_type,instant_bookable,host_is_superhost,actual_price,predicted_price,mispricing_pct,pricing_status
37.7548,-122.41119,,,,,28,25,0.22,0.22,1,75,0.2054794520547945,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,Mission,Entire home/apt,Apartment,Unknown,Unknown,218.0,160.14836,0.36123778200584006,Overpriced
30.35778,-97.64985,,,,,2,0,,0.0,1,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78754,Entire home/apt,Apartment,Unknown,Unknown,400.0,157.70386,1.5363995943989905,Overpriced
47.605557051094365,-122.33908947783549,4.0,1.0,1.0,2.0,2,10,0.41,0.41,1,360,0.9863013698630136,94.0,2023,7.5,1,1,1,1,1,1,1,0,Seattle,Central Business District,Entire home/apt,Apartment,f,f,104.0,152.73424,-0.3190786716460243,Underpriced
42.349757160919,-71.08775450314117,3.0,1.0,1.0,1.0,2,50,2.83,2.83,1,120,0.3287671232876712,93.0,2023,3.0,0,1,1,1,0,0,0,0,Boston,Back Bay,Entire home/apt,Apartment,f,f,248.0,168.80046,0.46919030198127787,Overpriced
42.35721790205242,-71.07050227797782,2.0,1.0,0.0,1.0,2,18,2.41,2.41,11,155,0.4246575342465753,93.0,2023,3.0,0,1,1,1,0,0,0,0,Boston,Beacon Hill,Entire home/apt,Apartment,f,f,209.0,154.03644,0.3568218191068548,Overpriced
40.72805,-73.99871,,,,,2,2,0.03,0.03,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Greenwich Village,Entire home/apt,Apartment,Unknown,Unknown,175.0,192.2147,-0.08955977792460305,Fairly Priced
40.84611,-73.91036,,,,,3,59,1.0,1.0,1,343,0.9397260273972603,,2019,0.0,0,0,0,0,0,0,0,0,New York,Mount Hope,Private room,Apartment,Unknown,Unknown,40.0,62.115395,-0.35603725513533047,Underpriced
42.382681252067194,-71.08571963808129,2.0,1.0,1.0,1.0,2,6,0.33,0.33,8,356,0.9753424657534246,70.0,2023,4.0,1,1,1,1,1,0,0,0,Somerville,Somerville,Private room,Apartment,t,f,69.0,83.955185,-0.17813295209617733,Underpriced
30.15843,-97.78193,,,,,2,3,0.51,0.51,1,259,0.7095890410958904,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78744,Entire home/apt,Apartment,Unknown,Unknown,85.0,154.45914,-0.44969263928736336,Underpriced
30.27266,-97.74674,,,,,1,1,0.13,0.13,2,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78701,Entire home/apt,Apartment,Unknown,Unknown,173.0,224.77243,-0.23033265388998178,Underpriced
